arch,workers,cores_per_exec,total_cores,heap_mb_per_exec,kind,partitions,tasks,run,seconds,n_docs,vocab
A,2,5,10,3000,skeleton,10,40,1,7.638,12,3771
A,2,5,10,3000,skeleton,10,40,2,8.105,12,3771
A,2,5,10,3000,skeleton,10,40,3,7.302,12,3771
A,2,5,10,3000,skeleton,12,48,1,8.543,12,3771
A,2,5,10,3000,skeleton,12,48,2,7.298,12,3771
A,2,5,10,3000,skeleton,12,48,3,7.127,12,3771
A,2,5,10,3000,full,10,40,1,23.926,3029,82700
A,2,5,10,3000,full,10,40,2,23.128,3029,82700
A,2,5,10,3000,full,10,40,3,22.836,3029,82700
A,2,5,10,3000,full,12,48,1,23.065,3029,82700
A,2,5,10,3000,full,12,48,2,24.157,3029,82700
A,2,5,10,3000,full,12,48,3,22.73,3029,82700
B,5,2,10,1200,skeleton,10,40,1,11.068,12,3771
B,5,2,10,1200,skeleton,10,40,2,11.118,12,3771
B,5,2,10,1200,skeleton,10,40,3,10.519,12,3771
B,5,2,10,1200,skeleton,12,48,1,11.107,12,3771
B,5,2,10,1200,skeleton,12,48,2,12.097,12,3771
B,5,2,10,1200,skeleton,12,48,3,11.14,12,3771
B,5,2,10,1200,full,10,40,1,28.21,3029,82700
B,5,2,10,1200,full,10,40,2,27.782,3029,82700
B,5,2,10,1200,full,10,40,3,27.811,3029,82700
B,5,2,10,1200,full,12,48,1,28.756,3029,82700
B,5,2,10,1200,full,12,48,2,27.77,3029,82700
B,5,2,10,1200,full,12,48,3,27.398,3029,82700
C,4,2,8,1500,skeleton,8,32,1,8.893,12,3771
C,4,2,8,1500,skeleton,8,32,2,8.475,12,3771
C,4,2,8,1500,skeleton,8,32,3,8.728,12,3771
C,4,2,8,1500,skeleton,12,48,1,9.733,12,3771
C,4,2,8,1500,skeleton,12,48,2,10.509,12,3771
C,4,2,8,1500,skeleton,12,48,3,9.626,12,3771
C,4,2,8,1500,full,8,32,1,25.449,3029,82700
C,4,2,8,1500,full,8,32,2,29.582,3029,82700
C,4,2,8,1500,full,8,32,3,31.287,3029,82700
C,4,2,8,1500,full,12,48,1,31.103,3029,82700
C,4,2,8,1500,full,12,48,2,29.624,3029,82700
C,4,2,8,1500,full,12,48,3,29.915,3029,82700
D,3,4,12,2000,skeleton,12,48,1,10.007,12,3771
D,3,4,12,2000,skeleton,12,48,2,10.208,12,3771
D,3,4,12,2000,skeleton,12,48,3,10.063,12,3771
D,3,4,12,2000,full,12,48,1,24.737,3029,82700
D,3,4,12,2000,full,12,48,2,21.008,3029,82700
D,3,4,12,2000,full,12,48,3,21.02,3029,82700
