arch,workers,cores_per_exec,total_cores,heap_mb_per_exec,kind,partitions,tasks,run,seconds,n_docs,vocab,api,scan_tasks
A,2,5,10,3000,skeleton,10,20,1,12.614,12,3771,sql,10
A,2,5,10,3000,skeleton,10,20,2,11.936,12,3771,sql,10
A,2,5,10,3000,skeleton,10,20,3,12.02,12,3771,sql,10
A,2,5,10,3000,skeleton,12,24,1,11.397,12,3771,sql,12
A,2,5,10,3000,skeleton,12,24,2,11.816,12,3771,sql,12
A,2,5,10,3000,skeleton,12,24,3,11.932,12,3771,sql,12
A,2,5,10,3000,full,10,20,1,23.611,3029,82700,sql,10
A,2,5,10,3000,full,10,20,2,24.189,3029,82700,sql,10
A,2,5,10,3000,full,10,20,3,25.491,3029,82700,sql,10
A,2,5,10,3000,full,12,24,1,27.543,3029,82700,sql,12
A,2,5,10,3000,full,12,24,2,27.518,3029,82700,sql,12
A,2,5,10,3000,full,12,24,3,29.437,3029,82700,sql,12
B,5,2,10,1200,skeleton,10,20,1,16.789,12,3771,sql,10
B,5,2,10,1200,skeleton,10,20,2,16.726,12,3771,sql,10
B,5,2,10,1200,skeleton,10,20,3,17.228,12,3771,sql,10
B,5,2,10,1200,skeleton,12,24,1,17.459,12,3771,sql,12
B,5,2,10,1200,skeleton,12,24,2,16.554,12,3771,sql,12
B,5,2,10,1200,skeleton,12,24,3,17.192,12,3771,sql,12
B,5,2,10,1200,full,10,20,1,33.113,3029,82700,sql,10
B,5,2,10,1200,full,10,20,2,35.637,3029,82700,sql,10
B,5,2,10,1200,full,10,20,3,32.799,3029,82700,sql,10
B,5,2,10,1200,full,12,24,1,35.795,3029,82700,sql,12
B,5,2,10,1200,full,12,24,2,34.118,3029,82700,sql,12
B,5,2,10,1200,full,12,24,3,35.269,3029,82700,sql,12
C,4,2,8,1500,skeleton,8,16,1,14.405,12,3771,sql,8
C,4,2,8,1500,skeleton,8,16,2,14.549,12,3771,sql,8
C,4,2,8,1500,skeleton,8,16,3,14.249,12,3771,sql,8
C,4,2,8,1500,skeleton,12,24,1,15.672,12,3771,sql,12
C,4,2,8,1500,skeleton,12,24,2,15.21,12,3771,sql,12
C,4,2,8,1500,skeleton,12,24,3,15.4,12,3771,sql,12
C,4,2,8,1500,full,8,16,1,30.084,3029,82700,sql,8
C,4,2,8,1500,full,8,16,2,30.829,3029,82700,sql,8
C,4,2,8,1500,full,8,16,3,30.663,3029,82700,sql,8
C,4,2,8,1500,full,12,24,1,31.917,3029,82700,sql,12
C,4,2,8,1500,full,12,24,2,32.938,3029,82700,sql,12
C,4,2,8,1500,full,12,24,3,32.506,3029,82700,sql,12
D,3,4,12,2000,skeleton,12,24,1,13.994,12,3771,sql,12
D,3,4,12,2000,skeleton,12,24,2,13.891,12,3771,sql,12
D,3,4,12,2000,skeleton,12,24,3,13.426,12,3771,sql,12
D,3,4,12,2000,full,12,24,1,26.495,3029,82700,sql,12
D,3,4,12,2000,full,12,24,2,28.347,3029,82700,sql,12
D,3,4,12,2000,full,12,24,3,27.662,3029,82700,sql,12
