term,document_frequency
00,3000
available_at,3000
concepts,3000
conservative,3000
date,3000
equities,3000
evidence,3000
family,3000
for,3000
macro,3000
market,3000
observation,3000
official,3000
on,3000
portfolio-level,3000
release,3000
relevant,3000
retrieval,3000
risk,3000
series,3000
t14,3000
us,3000
use,3000
value,3000
z,3000
treasury,1699
year,1699
yield,1699
10,1386
2011,1331
2010,1329
percent,1187
rates,1187
interest,1160
official_macro_rates,1160
2,1141
01,637
index,623
inflation,597
pressure,597
price,597
real,594
fed,593
policy,593
barrel,570
crude,570
dcoilwtico,570
energy,570
official_macro_energy,570
oil,570
per,570
prices,570
usd,570
wti,570
appetite,569
cboe,569
equity,569
market_volatility,569
official_macro_market_volatility,569
vix,569
vixcls,569
volatility,569
dgs10,567
duration,567
yields,567
costs,566
credit,566
curve,566
dgs2,566
funding,566
minus,566
official_macro_credit,566
percentage,566
points,566
recession,566
spread,566
stress,566
t10y2y,566
03,536
08,512
02,486
04,417
09,417
06,409
12,408
07,397
05,379
11,375
2012,345
22,249
19,207
15,200
23,200
14,195
16,195
28,195
13,190
29,190
20,185
21,185
27,185
17,180
24,180
26,176
18,172
30,170
25,165
demand,108
31,90
consumer,81
jobs,54
labor,54
official_macro_labor,54
rate,54
thousands,54
construction,27
cpiaucsl,27
cyclical,27
effective,27
federal,27
fedfunds,27
funds,27
growth,27
housing,27
houst,27
income,27
indpro,27
industrial,27
liquidity,27
margin,27
mortgage,27
nonfarm,27
official_macro_growth,27
official_macro_housing,27
official_macro_inflation,27
payems,27
payrolls,27
production,27
starts,27
total,27
unemployment,27
unrate,27
2.82,22
0.61,18
2.81,18
0.37,17
0.24,16
0.25,16
2.72,16
2.74,16
0.28,15
0.27,14
2.75,14
2.67,13
0.19,12
0.2,12
0.22,12
0.26,12
1.92,12
2.01,12
2.59,12
2.66,12
2.76,12
2.77,12
2.58,11
2.83,11
0.29,10
0.3,10
0.38,10
0.63,10
0.87,10
1.72,10
1.98,10
2.03,10
2.6,10
0.33,9
0.4,9
0.5,9
0.65,9
1.99,9
2.04,9
2.2,9
2.57,9
2.68,9
3.36,9
0.45,8
0.6,8
0.62,8
0.8,8
1.93,8
1.97,8
2.08,8
2.29,8
2.62,8
2.7,8
2.73,8
2.84,8
0.21,7
0.23,7
0.35,7
0.41,7
0.44,7
0.49,7
0.52,7
0.53,7
0.54,7
0.55,7
0.74,7
0.77,7
0.81,7
0.82,7
1.69,7
1.75,7
1.8,7
1.9,7
1.94,7
2.09,7
2.18,7
2.19,7
2.23,7
2.36,7
2.39,7
2.41,7
2.47,7
2.52,7
2.54,7
2.56,7
2.63,7
2.71,7
2.85,7
2.94,7
2.99,7
3.03,7
3.18,7
3.34,7
3.62,7
0.39,6
0.42,6
0.51,6
0.58,6
0.59,6
0.67,6
0.68,6
0.79,6
0.86,6
1.68,6
1.71,6
1.79,6
1.84,6
1.87,6
1.88,6
1.96,6
2.1,6
2.11,6
2.14,6
2.32,6
2.44,6
2.5,6
2.53,6
2.61,6
2.65,6
2.78,6
2.79,6
2.98,6
3.01,6
3.42,6
3.47,6
3.68,6
9,6
0.18,5
0.31,5
0.34,5
0.48,5
0.56,5
0.57,5
0.66,5
0.69,5
0.71,5
0.75,5
0.84,5
0.85,5
1.01,5
1.67,5
1.7,5
1.77,5
1.89,5
2.05,5
2.06,5
2.13,5
2.25,5
2.43,5
2.46,5
2.64,5
2.69,5
2.8,5
2.87,5
2.96,5
3.35,5
3.39,5
3.46,5
3.58,5
3.69,5
3.73,5
0.36,4
0.43,4
0.64,4
0.72,4
0.76,4
0.91,4
0.97,4
1.03,4
1.07,4
1.63,4
1.64,4
1.66,4
1.73,4
1.74,4
1.76,4
1.83,4
1.85,4
1.95,4
17.55,4
2.02,4
2.07,4
2.12,4
2.17,4
2.24,4
2.31,4
2.33,4
2.37,4
2.42,4
2.55,4
2.89,4
2.9,4
2.97,4
20.63,4
3,4
3.07,4
3.12,4
3.15,4
3.17,4
3.32,4
3.49,4
3.5,4
3.56,4
3.59,4
3.61,4
3.66,4
3.7,4
3.71,4
3.8,4
3.84,4
3.85,4
0.07,3
0.08,3
0.1,3
0.16,3
0.47,3
0.78,3
0.89,3
0.9,3
0.92,3
0.95,3
0.96,3
1.02,3
1.04,3
1.09,3
1.65,3
1.81,3
1.86,3
1.91,3
106.7,3
15.87,3
15.95,3
16.62,3
17.52,3
17.59,3
17.61,3
18.19,3
19.06,3
2.15,3
2.21,3
2.22,3
2.26,3
2.27,3
2.34,3
2.38,3
2.48,3
2.49,3
2.51,3
2.92,3
2.93,3
2.95,3
22.73,3
3.05,3
3.13,3
3.2,3
3.22,3
3.23,3
3.25,3
3.28,3
3.33,3
3.37,3
3.4,3
3.41,3
3.43,3
3.44,3
3.45,3
3.63,3
3.65,3
3.67,3
3.72,3
3.83,3
3.88,3
32.86,3
9.1,3
9.4,3
9.8,3
0.09,2
0.13,2
0.17,2
0.32,2
0.7,2
0.73,2
0.83,2
0.88,2
0.93,2
0.98,2
1.05,2
1.06,2
1.08,2
1.1,2
1.56,2
1.61,2
1.62,2
1.78,2
1.82,2
100.32,2
104.34,2
111.72,2
130415,2
15.45,2
15.58,2
15.59,2
15.64,2
16.09,2
16.23,2
16.47,2
16.59,2
17.02,2
17.07,2
17.11,2
17.25,2
17.31,2
17.4,2
17.47,2
17.58,2
17.63,2
17.65,2
17.74,2
17.77,2
17.91,2
17.95,2
17.99,2
18.16,2
18.26,2
18.4,2
18.47,2
18.52,2
18.57,2
18.86,2
19.07,2
19.09,2
19.17,2
19.22,2
19.35,2
19.44,2
19.53,2
19.56,2
19.87,2
2.3,2
2.35,2
2.4,2
2.86,2
2.88,2
2.91,2
20.04,2
20.22,2
20.61,2
20.71,2
20.8,2
21.32,2
21.48,2
21.56,2
21.72,2
21.76,2
22.01,2
22.1,2
22.22,2
22.81,2
224.806,2
23.19,2
23.25,2
25.41,2
3.04,2
3.08,2
3.14,2
3.19,2
3.21,2
3.24,2
3.26,2
3.29,2
3.31,2
3.38,2
3.48,2
3.51,2
3.52,2
3.64,2
3.74,2
3.76,2
3.77,2
3.79,2
3.86,2
3.89,2
3.91,2
31.97,2
32,2
36.27,2
74.25,2
74.38,2
74.99,2
75.17,2
75.39,2
75.96,2
77.18,2
78.93,2
79.75,2
8.3,2
80.29,2
80.79,2
81.26,2
81.5,2
81.52,2
82,2
82.33,2
82.6,2
83.21,2
83.8,2
84.45,2
85.17,2
86.07,2
86.75,2
87.77,2
9.5,2
9.9,2
90.99,2
91.38,2
96.91,2
97.99,2
99.37,2
99.47,2
0.11,1
0.14,1
0.46,1
0.94,1
1,1
1.11,1
1.14,1
1.18,1
1.52,1
1.58,1
100.18,1
100.2,1
100.24,1
100.28,1
100.3,1
100.36,1
100.39,1
100.41,1
100.45,1
100.58,1
100.61,1
100.7,1
100.77,1
100.78,1
100.82,1
100.89,1
100.94,1
100.97,1
101.06,1
101.14,1
101.2,1
101.25,1
101.29,1
101.31,1
101.47,1
101.53,1
101.56,1
101.81,1
101.82,1
101.92,1
101.95,1
102.24,1
102.27,1
102.33,1
102.36,1
102.59,1
102.7,1
102.73,1
102.79,1
102.96,1
103.03,1
103.22,1
103.27,1
103.29,1
103.39,1
103.54,1
103.8,1
104.02,1
104.39,1
104.53,1
104.71,1
104.89,1
104.98,1
105.04,1
105.06,1
105.19,1
105.21,1
105.25,1
105.37,1
105.4,1
105.49,1
105.68,1
105.75,1
105.88,1
105.99,1
106.16,1
106.19,1
106.34,1
106.43,1
106.59,1
106.6,1
106.65,1
106.68,1
106.87,1
107.03,1
107.07,1
107.08,1
107.18,1
107.32,1
107.4,1
107.44,1
107.55,1
107.73,1
107.82,1
108.09,1
108.14,1
108.38,1
108.49,1
108.76,1
108.79,1
109.17,1
109.39,1
109.5,1
109.82,1
110.6,1
110.84,1
111.68,1
112.27,1
112.31,1
112.38,1
113.03,1
113.39,1
129706,1
129802,1
129866,1
130120,1
130341,1
130510,1
130620,1
130642,1
130749,1
130830,1
130837,1
131057,1
131283,1
131597,1
131703,1
131931,1
131992,1
132125,1
132344,1
132553,1
132690,1
132888,1
133246,1
133509,1
133748,1
14.26,1
14.47,1
14.62,1
14.69,1
14.75,1
14.8,1
14.82,1
15.04,1
15.07,1
15.13,1
15.31,1
15.32,1
15.35,1
15.42,1
15.46,1
15.47,1
15.48,1
15.5,1
15.52,1
15.57,1
15.62,1
15.66,1
15.69,1
15.73,1
15.77,1
15.81,1
15.83,1
15.89,1
15.91,1
15.93,1
15.98,1
15.99,1
16.03,1
16.06,1
16.11,1
16.14,1
16.15,1
16.2,1
16.24,1
16.27,1
16.28,1
16.32,1
16.34,1
16.35,1
16.37,1
16.39,1
16.41,1
16.43,1
16.44,1
16.48,1
16.49,1
16.52,1
16.64,1
16.69,1
16.7,1
16.72,1
16.8,1
16.87,1
16.89,1
16.9,1
16.91,1
16.92,1
16.95,1
16.96,1
16.97,1
17.08,1
17.09,1
17.1,1
17.13,1
17.14,1
17.16,1
17.26,1
17.27,1
17.28,1
17.29,1
17.3,1
17.34,1
17.38,1
17.39,1
17.42,1
17.43,1
17.5,1
17.54,1
17.56,1
17.67,1
17.69,1
17.71,1
17.75,1
17.76,1
17.78,1
17.79,1
17.82,1
17.85,1
17.87,1
17.92,1
17.94,1
17.96,1
17.98,1
18.01,1
18.02,1
18.04,1
18.05,1
18.06,1
18.07,1
18.09,1
18.13,1
18.2,1
18.24,1
18.25,1
18.27,1
18.28,1
18.29,1
18.3,1
18.31,1
18.35,1
18.36,1
18.37,1
18.39,1
18.43,1
18.44,1
18.49,1
18.53,1
18.55,1
18.6,1
18.63,1
18.64,1
18.67,1
18.68,1
18.72,1
18.75,1
18.78,1
18.79,1
18.83,1
18.91,1
18.93,1
18.96,1
19.03,1
19.04,1
19.08,1
19.16,1
19.21,1
19.26,1
19.27,1
19.29,1
19.39,1
19.4,1
19.5,1
19.54,1
19.61,1
19.79,1
19.82,1
19.85,1
19.88,1
19.91,1
19.94,1
19.99,1
2.16,1
2.28,1
2.45,1
20.02,1
20.08,1
20.1,1
20.19,1
20.2,1
20.21,1
20.23,1
20.27,1
20.47,1
20.56,1
20.66,1
20.69,1
20.7,1
20.73,1
20.79,1
20.87,1
20.88,1
20.89,1
20.91,1
20.95,1
21.01,1
21.05,1
21.07,1
21.08,1
21.1,1
21.13,1
21.14,1
21.16,1
21.2,1
21.21,1
21.31,1
21.36,1
21.37,1
21.43,1
21.49,1
21.5,1
21.53,1
21.57,1
21.6,1
21.71,1
21.74,1
21.83,1
21.85,1
21.88,1
21.91,1
21.99,1
217.199,1
217.281,1
217.29,1
217.353,1
217.403,1
217.488,1
217.605,1
217.923,1
218.275,1
219.035,1
219.59,1
22.05,1
22.13,1
22.14,1
22.2,1
22.21,1
22.25,1
22.27,1
22.35,1
22.37,1
22.5,1
22.51,1
22.54,1
22.58,1
22.59,1
22.6,1
22.63,1
22.65,1
22.97,1
22.98,1
220.472,1
221.187,1
221.898,1
223.046,1
224.093,1
225.395,1
226.106,1
226.597,1
226.75,1
227.169,1
227.223,1
227.842,1
228.329,1
228.807,1
23.14,1
23.22,1
23.38,1
23.4,1
23.47,1
23.5,1
23.52,1
23.53,1
23.54,1
23.66,1
23.7,1
23.73,1
23.74,1
23.8,1
23.84,1
23.87,1
23.89,1
23.93,1
23.95,1
23.96,1
24.13,1
24.25,1
24.29,1
24.32,1
24.33,1
24.43,1
24.44,1
24.45,1
24.53,1
24.55,1
24.56,1
24.59,1
24.62,1
24.63,1
24.79,1
24.88,1
24.89,1
24.91,1
24.92,1
24.98,1
25.05,1
25.11,1
25.14,1
25.25,1
25.39,1
25.4,1
25.46,1
25.49,1
25.52,1
25.64,1
25.66,1
25.67,1
25.71,1
25.73,1
25.87,1
25.92,1
25.97,1
26.04,1
26.05,1
26.08,1
26.1,1
26.11,1
26.24,1
26.25,1
26.37,1
26.38,1
26.44,1
26.51,1
26.68,1
26.7,1
26.84,1
26.91,1
27.05,1
27.21,1
27.31,1
27.37,1
27.41,1
27.46,1
27.48,1
27.52,1
27.8,1
27.84,1
28.13,1
28.24,1
28.32,1
28.53,1
28.58,1
28.67,1
28.79,1
28.84,1
29.26,1
29.4,1
29.46,1
29.65,1
29.68,1
29.74,1
29.85,1
29.86,1
29.96,1
3.02,1
3.11,1
3.16,1
3.27,1
3.3,1
3.53,1
3.55,1
3.57,1
3.75,1
3.78,1
3.82,1
3.87,1
3.9,1
3.96,1
3.98,1
30.04,1
30.12,1
30.16,1
30.17,1
30.5,1
30.57,1
30.59,1
30.64,1
30.7,1
30.84,1
30.98,1
31.13,1
31.22,1
31.24,1
31.26,1
31.32,1
31.56,1
31.58,1
31.62,1
31.66,1
31.82,1
31.87,1
32.07,1
32.13,1
32.22,1
32.28,1
32.73,1
32.74,1
32.8,1
32.81,1
32.85,1
32.89,1
32.91,1
33.02,1
33.38,1
33.39,1
33.51,1
33.55,1
33.7,1
33.73,1
33.92,1
33.98,1
34.13,1
34.32,1
34.44,1
34.47,1
34.51,1
34.54,1
34.6,1
34.61,1
34.77,1
34.78,1
35.02,1
35.06,1
35.32,1
35.48,1
35.54,1
35.59,1
35.9,1
36.16,1
36.2,1
36.36,1
36.57,1
36.91,1
37,1
37.32,1
37.71,1
37.81,1
38.32,1
38.52,1
38.59,1
38.84,1
39,1
39.02,1
39.76,1
4.01,1
40.1,1
40.82,1
40.95,1
41.08,1
41.25,1
41.35,1
42.44,1
42.67,1
42.96,1
42.99,1
43.05,1
45.45,1
45.79,1
48,1
517,1
536,1
539,1
543,1
545,1
546,1
554,1
561,1
583,1
585,1
594,1
599,1
600,1
604,1
608,1
610,1
614,1
623,1
630,1
636,1
64.78,1
650,1
68.03,1
68.23,1
68.28,1
687,1
69.38,1
69.91,1
694,1
695,1
70.08,1
704,1
71.15,1
71.24,1
71.43,1
71.52,1
71.55,1
71.61,1
71.87,1
71.88,1
71.93,1
71.96,1
711,1
72.06,1
72.07,1
72.7,1
72.71,1
72.85,1
72.88,1
72.95,1
72.96,1
72.98,1
723,1
73.13,1
73.36,1
73.4,1
73.45,1
73.62,1
73.63,1
73.64,1
73.71,1
73.89,1
73.97,1
73.98,1
74,1
74.05,1
74.11,1
74.41,1
74.45,1
74.48,1
74.52,1
74.56,1
74.58,1
74.62,1
74.63,1
74.65,1
74.67,1
74.69,1
74.81,1
74.9,1
74.93,1
75.1,1
75.23,1
75.4,1
75.46,1
75.48,1
75.59,1
75.65,1
75.68,1
75.76,1
75.84,1
75.9,1
75.92,1
75.93,1
76.08,1
76.15,1
76.27,1
76.37,1
76.4,1
76.51,1
76.53,1
76.67,1
76.78,1
76.82,1
76.84,1
76.89,1
76.96,1
76.98,1
77.02,1
