consumer,size,run,latency_s,processing_s,new_documents,producer_s,interval_s,gap_s,batch_key,python,host,corpus
ss,12,1,3.721,3.145,12,1.593,1.0,30.0,2,3.10.12,docker-linux,sec_macro_company_ir_ppo_2010_2023_documents.jsonl
ss,200,1,6.055,5.614,200,1.636,1.0,30.0,3,3.10.12,docker-linux,sec_macro_company_ir_ppo_2010_2023_documents.jsonl
ss,12,2,3.869,2.863,12,1.75,1.0,30.0,4,3.10.12,docker-linux,sec_macro_company_ir_ppo_2010_2023_documents.jsonl
ss,200,2,6.99,6.145,200,1.66,1.0,30.0,5,3.10.12,docker-linux,sec_macro_company_ir_ppo_2010_2023_documents.jsonl
ss,12,3,3.303,2.838,12,1.655,1.0,30.0,6,3.10.12,docker-linux,sec_macro_company_ir_ppo_2010_2023_documents.jsonl
ss,200,3,3.823,3.044,200,1.691,1.0,30.0,7,3.10.12,docker-linux,sec_macro_company_ir_ppo_2010_2023_documents.jsonl
ss,12,4,3.564,2.875,12,1.633,1.0,30.0,8,3.10.12,docker-linux,sec_macro_company_ir_ppo_2010_2023_documents.jsonl
ss,200,4,3.925,3.108,200,1.686,1.0,30.0,9,3.10.12,docker-linux,sec_macro_company_ir_ppo_2010_2023_documents.jsonl
ss,12,5,3.339,2.865,12,1.727,1.0,30.0,10,3.10.12,docker-linux,sec_macro_company_ir_ppo_2010_2023_documents.jsonl
ss,200,5,3.569,2.847,200,1.795,1.0,30.0,11,3.10.12,docker-linux,sec_macro_company_ir_ppo_2010_2023_documents.jsonl
inc-local,12,1,0.768,0.519,12,1.426,1.0,30.0,3,3.9.18,windows,sec_macro_company_ir_ppo_2010_2023_documents.jsonl
inc-local,200,1,0.772,0.534,200,1.473,1.0,30.0,4,3.9.18,windows,sec_macro_company_ir_ppo_2010_2023_documents.jsonl
inc-local,12,2,0.725,0.505,12,1.45,1.0,30.0,5,3.9.18,windows,sec_macro_company_ir_ppo_2010_2023_documents.jsonl
inc-local,200,2,0.676,0.541,200,1.518,1.0,30.0,6,3.9.18,windows,sec_macro_company_ir_ppo_2010_2023_documents.jsonl
inc-local,12,3,0.717,0.496,12,1.501,1.0,30.0,7,3.9.18,windows,sec_macro_company_ir_ppo_2010_2023_documents.jsonl
inc-local,200,3,0.623,0.539,200,1.543,1.0,30.0,8,3.9.18,windows,sec_macro_company_ir_ppo_2010_2023_documents.jsonl
inc-local,12,4,0.615,0.486,12,1.537,1.0,30.0,9,3.9.18,windows,sec_macro_company_ir_ppo_2010_2023_documents.jsonl
inc-local,200,4,0.614,0.501,200,1.565,1.0,30.0,10,3.9.18,windows,sec_macro_company_ir_ppo_2010_2023_documents.jsonl
inc-local,12,5,0.666,0.492,12,1.551,1.0,30.0,11,3.9.18,windows,sec_macro_company_ir_ppo_2010_2023_documents.jsonl
inc-local,200,5,1.592,0.546,200,1.639,1.0,30.0,12,3.9.18,windows,sec_macro_company_ir_ppo_2010_2023_documents.jsonl
inc-spark,12,1,60.164,59.903,12,1.419,1.0,30.0,3,3.9.18,windows,sec_macro_company_ir_ppo_2010_2023_documents.jsonl
inc-spark,200,1,61.689,61.474,200,1.49,1.0,30.0,4,3.9.18,windows,sec_macro_company_ir_ppo_2010_2023_documents.jsonl
inc-spark,12,2,62.017,61.864,12,1.54,1.0,30.0,5,3.9.18,windows,sec_macro_company_ir_ppo_2010_2023_documents.jsonl
inc-spark,200,2,62.114,61.943,200,1.536,1.0,30.0,6,3.9.18,windows,sec_macro_company_ir_ppo_2010_2023_documents.jsonl
inc-spark,12,3,62.026,61.867,12,1.536,1.0,30.0,7,3.9.18,windows,sec_macro_company_ir_ppo_2010_2023_documents.jsonl
inc-spark,200,3,62.138,62.042,200,1.572,1.0,30.0,8,3.9.18,windows,sec_macro_company_ir_ppo_2010_2023_documents.jsonl
inc-spark,12,4,61.892,61.75,12,1.555,1.0,30.0,9,3.9.18,windows,sec_macro_company_ir_ppo_2010_2023_documents.jsonl
inc-spark,200,4,61.723,61.589,200,1.596,1.0,30.0,10,3.9.18,windows,sec_macro_company_ir_ppo_2010_2023_documents.jsonl
inc-spark,12,5,62.007,61.881,12,1.59,1.0,30.0,11,3.9.18,windows,sec_macro_company_ir_ppo_2010_2023_documents.jsonl
inc-spark,200,5,61.85,61.786,200,1.67,1.0,30.0,12,3.9.18,windows,sec_macro_company_ir_ppo_2010_2023_documents.jsonl
