consumer,size,run,latency_s,processing_s,new_documents,producer_s,interval_s,gap_s,batch_key,python,host,corpus
inc-local,12,1,1.504,0.575,12,1.613,1.0,15.0,3,3.9.18,windows,sec_macro_company_ir_ppo_2010_2023_documents.jsonl
inc-local,200,1,1.755,0.779,200,1.522,1.0,15.0,4,3.9.18,windows,sec_macro_company_ir_ppo_2010_2023_documents.jsonl
inc-local,12,2,0.624,0.559,12,1.478,1.0,15.0,5,3.9.18,windows,sec_macro_company_ir_ppo_2010_2023_documents.jsonl
inc-local,200,2,1.604,0.594,200,1.528,1.0,15.0,6,3.9.18,windows,sec_macro_company_ir_ppo_2010_2023_documents.jsonl
inc-local,12,3,1.555,0.589,12,1.57,1.0,15.0,7,3.9.18,windows,sec_macro_company_ir_ppo_2010_2023_documents.jsonl
inc-local,200,3,1.566,0.618,200,1.565,1.0,15.0,8,3.9.18,windows,sec_macro_company_ir_ppo_2010_2023_documents.jsonl
inc-local,12,4,1.436,0.563,12,1.572,1.0,15.0,9,3.9.18,windows,sec_macro_company_ir_ppo_2010_2023_documents.jsonl
inc-local,200,4,1.394,0.617,200,1.723,1.0,15.0,10,3.9.18,windows,sec_macro_company_ir_ppo_2010_2023_documents.jsonl
inc-local,12,5,1.416,0.519,12,1.616,1.0,15.0,11,3.9.18,windows,sec_macro_company_ir_ppo_2010_2023_documents.jsonl
inc-local,200,5,1.498,0.551,200,1.616,1.0,15.0,12,3.9.18,windows,sec_macro_company_ir_ppo_2010_2023_documents.jsonl
ss-sql,12,1,1.265,0.395,12,1.44,1.0,15.0,2,3.10.12,docker-linux,sec_macro_company_ir_ppo_2010_2023_documents.jsonl
ss-sql,200,1,1.635,1.2,200,1.523,1.0,15.0,3,3.10.12,docker-linux,sec_macro_company_ir_ppo_2010_2023_documents.jsonl
ss-sql,12,2,0.858,0.322,12,1.519,1.0,15.0,4,3.10.12,docker-linux,sec_macro_company_ir_ppo_2010_2023_documents.jsonl
ss-sql,200,2,1.167,0.701,200,1.547,1.0,15.0,5,3.10.12,docker-linux,sec_macro_company_ir_ppo_2010_2023_documents.jsonl
ss-sql,12,3,1.325,0.223,12,1.561,1.0,15.0,6,3.10.12,docker-linux,sec_macro_company_ir_ppo_2010_2023_documents.jsonl
ss-sql,200,3,1.38,0.788,200,1.581,1.0,15.0,7,3.10.12,docker-linux,sec_macro_company_ir_ppo_2010_2023_documents.jsonl
ss-sql,12,4,1.215,0.221,12,1.571,1.0,15.0,8,3.10.12,docker-linux,sec_macro_company_ir_ppo_2010_2023_documents.jsonl
ss-sql,200,4,1.122,0.558,200,1.589,1.0,15.0,9,3.10.12,docker-linux,sec_macro_company_ir_ppo_2010_2023_documents.jsonl
ss-sql,12,5,1.42,0.284,12,1.617,1.0,15.0,10,3.10.12,docker-linux,sec_macro_company_ir_ppo_2010_2023_documents.jsonl
ss-sql,200,5,1.069,0.686,200,1.678,1.0,15.0,11,3.10.12,docker-linux,sec_macro_company_ir_ppo_2010_2023_documents.jsonl
ss-sql-local,12,1,1.264,0.179,12,1.464,1.0,15.0,2,3.10.12,docker-linux,sec_macro_company_ir_ppo_2010_2023_documents.jsonl
ss-sql-local,200,1,1.269,0.526,200,1.494,1.0,15.0,3,3.10.12,docker-linux,sec_macro_company_ir_ppo_2010_2023_documents.jsonl
ss-sql-local,12,2,0.504,0.159,12,1.49,1.0,15.0,4,3.10.12,docker-linux,sec_macro_company_ir_ppo_2010_2023_documents.jsonl
ss-sql-local,200,2,1.063,0.497,200,1.58,1.0,15.0,5,3.10.12,docker-linux,sec_macro_company_ir_ppo_2010_2023_documents.jsonl
ss-sql-local,12,3,0.499,0.152,12,1.515,1.0,15.0,6,3.10.12,docker-linux,sec_macro_company_ir_ppo_2010_2023_documents.jsonl
ss-sql-local,200,3,0.967,0.391,200,1.601,1.0,15.0,7,3.10.12,docker-linux,sec_macro_company_ir_ppo_2010_2023_documents.jsonl
ss-sql-local,12,4,0.65,0.157,12,1.554,1.0,15.0,8,3.10.12,docker-linux,sec_macro_company_ir_ppo_2010_2023_documents.jsonl
ss-sql-local,200,4,0.859,0.266,200,1.607,1.0,15.0,9,3.10.12,docker-linux,sec_macro_company_ir_ppo_2010_2023_documents.jsonl
ss-sql-local,12,5,0.551,0.158,12,1.638,1.0,15.0,10,3.10.12,docker-linux,sec_macro_company_ir_ppo_2010_2023_documents.jsonl
ss-sql-local,200,5,1.015,0.459,200,1.663,1.0,15.0,11,3.10.12,docker-linux,sec_macro_company_ir_ppo_2010_2023_documents.jsonl
ss-sql-local-native,12,1,1.386,0.229,12,4.325,1.0,15.0,2,3.10.12,docker-linux-native-fs,sec_macro_company_ir_ppo_2010_2023_documents.jsonl
ss-sql-local-native,200,1,1.234,0.496,200,4.236,1.0,15.0,3,3.10.12,docker-linux-native-fs,sec_macro_company_ir_ppo_2010_2023_documents.jsonl
ss-sql-local-native,12,2,0.769,0.141,12,4.087,1.0,15.0,4,3.10.12,docker-linux-native-fs,sec_macro_company_ir_ppo_2010_2023_documents.jsonl
ss-sql-local-native,200,2,1.085,0.446,200,4.48,1.0,15.0,5,3.10.12,docker-linux-native-fs,sec_macro_company_ir_ppo_2010_2023_documents.jsonl
ss-sql-local-native,12,3,0.572,0.134,12,4.369,1.0,15.0,6,3.10.12,docker-linux-native-fs,sec_macro_company_ir_ppo_2010_2023_documents.jsonl
ss-sql-local-native,200,3,1.213,0.418,200,4.303,1.0,15.0,7,3.10.12,docker-linux-native-fs,sec_macro_company_ir_ppo_2010_2023_documents.jsonl
ss-sql-local-native,12,4,0.636,0.143,12,4.374,1.0,15.0,8,3.10.12,docker-linux-native-fs,sec_macro_company_ir_ppo_2010_2023_documents.jsonl
ss-sql-local-native,200,4,0.982,0.255,200,4.361,1.0,15.0,9,3.10.12,docker-linux-native-fs,sec_macro_company_ir_ppo_2010_2023_documents.jsonl
ss-sql-local-native,12,5,0.953,0.151,12,4.18,1.0,15.0,10,3.10.12,docker-linux-native-fs,sec_macro_company_ir_ppo_2010_2023_documents.jsonl
ss-sql-local-native,200,5,0.876,0.417,200,4.656,1.0,15.0,11,3.10.12,docker-linux-native-fs,sec_macro_company_ir_ppo_2010_2023_documents.jsonl
