term,document_frequency
00,18240
available_at,18240
concepts,18240
conservative,18240
date,18240
equities,18240
evidence,18240
family,18240
for,18240
macro,18240
market,18240
observation,18240
official,18240
on,18240
portfolio-level,18240
release,18240
relevant,18240
retrieval,18240
risk,18240
series,18240
t14,18240
us,18240
use,18240
value,18240
z,18240
yield,10660
treasury,9876
year,9876
10,8270
percent,7686
rates,6902
interest,6743
official_macro_rates,6743
2,6608
credit,4076
funding,4076
official_macro_credit,4076
spread,4076
stress,4076
index,3637
01,3515
inflation,3466
pressure,3466
price,3466
fed,3451
policy,3451
real,3451
appetite,3319
cboe,3319
equity,3319
market_volatility,3319
official_macro_market_volatility,3319
vix,3319
vixcls,3319
volatility,3319
barrel,3307
crude,3307
dcoilwtico,3307
energy,3307
official_macro_energy,3307
oil,3307
per,3307
prices,3307
usd,3307
wti,3307
costs,3292
curve,3292
dgs10,3292
dgs2,3292
duration,3292
minus,3292
percentage,3292
points,3292
recession,3292
t10y2y,3292
yields,3292
08,3150
03,2661
07,2624
06,2623
09,2604
12,2602
05,2565
04,2564
11,2546
02,2540
22,1467
2020,1335
2015,1334
2021,1333
2011,1331
2013,1331
2014,1331
2016,1331
2022,1331
2010,1329
2019,1328
2012,1324
2017,1323
2018,1319
19,1292
14,1168
23,1165
13,1163
15,1150
24,1146
28,1146
16,1144
17,1139
20,1136
21,1133
27,1131
18,1128
25,1086
26,1081
29,1066
30,1047
bamlh0a0hym2,784
bofa,784
default,784
high,784
ice,784
option-adjusted,784
spreads,784
31,653
demand,636
consumer,477
2023,386
jobs,318
labor,318
official_macro_labor,318
rate,318
thousands,318
2024,264
2025,262
construction,159
cpiaucsl,159
cyclical,159
effective,159
federal,159
fedfunds,159
funds,159
growth,159
housing,159
houst,159
income,159
indpro,159
industrial,159
liquidity,159
margin,159
mortgage,159
nonfarm,159
official_macro_growth,159
official_macro_housing,159
official_macro_inflation,159
payems,159
payrolls,159
production,159
starts,159
total,159
unemployment,159
unrate,159
0.16,126
0.27,124
0.25,98
2026,95
0.14,87
0.24,75
0.26,72
0.17,70
0.3,69
0.23,68
0.22,64
0.29,64
0.19,63
0.28,56
1.63,55
0.21,53
0.2,52
