config,kind,run,seconds,documents
SS-12,full,warmup,22.03,3029
SS-12,full,1,23.81,3029
SS-12,full,2,22.18,3029
SS-12,full,3,21.94,3029
SS-12,skeleton,1,21.32,12
SS-12,skeleton,2,20.69,12
SS-12,skeleton,3,21.01,12
SS-200,full,1,29.6,3029
SS-200,full,2,30.13,3029
SS-200,full,3,30.11,3029
INC-SPARK,full,warmup,40.46,3029
INC-SPARK,full,1,44.09,3029
INC-SPARK,full,2,42.18,3029
INC-SPARK,full,3,43.04,3029
INC-SPARK,skeleton,1,22.07,12
INC-SPARK,skeleton,2,18.6,12
INC-SPARK,skeleton,3,18.01,12
INC-LOCAL,full,warmup,12.28,3029
INC-LOCAL,full,1,12.08,3029
INC-LOCAL,full,2,12.06,3029
INC-LOCAL,full,3,12.37,3029
INC-LOCAL,skeleton,1,1.28,12
INC-LOCAL,skeleton,2,1.19,12
INC-LOCAL,skeleton,3,1.35,12
SS-200,skeleton,1,27.21,12
SS-200,skeleton,2,27.98,12
SS-200,skeleton,3,27.42,12
