ticker,cik,official_name,company_name,common_name,sector,exchange,active_from,active_to,peer_group,aliases,products,risk_terms,source_credibility
MMM,0000066740,3M CO,3M CO,3M Company,Industrials,,1900-01-01,,Industrials,MMM|$MMM|3M CO|3M,,earnings|revenue|guidance|margin|cash flow|regulation|litigation|supply chain|interest rates|inflation,0.9
AXP,0000004962,AMERICAN EXPRESS CO,AMERICAN EXPRESS CO,American Express Company,Financials,,1900-01-01,,Financials,AXP|$AXP|AMERICAN EXPRESS CO|AMERICAN EXPRESS,,earnings|revenue|guidance|margin|cash flow|regulation|litigation|supply chain|interest rates|inflation,0.9
AMGN,0000318154,AMGEN INC,AMGEN INC,Amgen Inc.,Health Care,,1900-01-01,,Health Care,AMGN|$AMGN|AMGEN INC|AMGEN,,earnings|revenue|guidance|margin|cash flow|regulation|litigation|supply chain|interest rates|inflation,0.9
AMZN,0001018724,AMAZON COM INC,AMAZON COM INC,Amazon.com,Consumer Discretionary,,1900-01-01,,Consumer Discretionary,AMZN|$AMZN|AMAZON COM INC|AMAZON COM,,earnings|revenue|guidance|margin|cash flow|regulation|litigation|supply chain|interest rates|inflation,0.9
AAPL,0000320193,Apple Inc.,Apple Inc.,Apple Inc.,Information Technology,,1900-01-01,,Information Technology,AAPL|$AAPL|Apple Inc.|Apple,,earnings|revenue|guidance|margin|cash flow|regulation|litigation|supply chain|interest rates|inflation,0.9
BA,0000012927,BOEING CO,BOEING CO,Boeing Company,Industrials,,1900-01-01,,Industrials,BA|$BA|BOEING CO|BOEING,,earnings|revenue|guidance|margin|cash flow|regulation|litigation|supply chain|interest rates|inflation,0.9
CAT,0000018230,CATERPILLAR INC,CATERPILLAR INC,Caterpillar Inc.,Industrials,,1900-01-01,,Industrials,CAT|$CAT|CATERPILLAR INC|CATERPILLAR,,earnings|revenue|guidance|margin|cash flow|regulation|litigation|supply chain|interest rates|inflation,0.9
CRM,0001108524,"Salesforce, Inc.","Salesforce, Inc.",Salesforce,Information Technology,,1900-01-01,,Information Technology,"CRM|$CRM|Salesforce, Inc.|Salesforce",,earnings|revenue|guidance|margin|cash flow|regulation|litigation|supply chain|interest rates|inflation,0.9
CSCO,0000858877,"CISCO SYSTEMS, INC.","CISCO SYSTEMS, INC.",Cisco Systems,Information Technology,,1900-01-01,,Information Technology,"CSCO|$CSCO|CISCO SYSTEMS, INC.|CISCO SYSTEMS",,earnings|revenue|guidance|margin|cash flow|regulation|litigation|supply chain|interest rates|inflation,0.9
CVX,0000093410,CHEVRON CORP,CHEVRON CORP,Chevron Corporation,Energy,,1900-01-01,,Energy,CVX|$CVX|CHEVRON CORP|CHEVRON,,earnings|revenue|guidance|margin|cash flow|regulation|litigation|supply chain|interest rates|inflation,0.9
DIS,0001744489,Walt Disney Co,Walt Disney Co,The Walt Disney Company,Communication Services,,1900-01-01,,Communication Services,DIS|$DIS|Walt Disney Co|Walt Disney,,earnings|revenue|guidance|margin|cash flow|regulation|litigation|supply chain|interest rates|inflation,0.9
GS,0000886982,GOLDMAN SACHS GROUP INC,GOLDMAN SACHS GROUP INC,The Goldman Sachs Group,Financials,,1900-01-01,,Financials,GS|$GS|GOLDMAN SACHS GROUP INC|GOLDMAN SACHS GROUP,,earnings|revenue|guidance|margin|cash flow|regulation|litigation|supply chain|interest rates|inflation,0.9
HD,0000354950,"HOME DEPOT, INC.","HOME DEPOT, INC.",The Home Depot,Consumer Discretionary,,1900-01-01,,Consumer Discretionary,"HD|$HD|HOME DEPOT, INC.|HOME DEPOT",,earnings|revenue|guidance|margin|cash flow|regulation|litigation|supply chain|interest rates|inflation,0.9
HON,0000773840,HONEYWELL INTERNATIONAL INC,HONEYWELL INTERNATIONAL INC,Honeywell International Inc.,Industrials,,1900-01-01,,Industrials,HON|$HON|HONEYWELL INTERNATIONAL INC|HONEYWELL INTERNATIONAL,,earnings|revenue|guidance|margin|cash flow|regulation|litigation|supply chain|interest rates|inflation,0.9
IBM,0000051143,INTERNATIONAL BUSINESS MACHINES CORP,INTERNATIONAL BUSINESS MACHINES CORP,International Business Machines Corporation,Information Technology,,1900-01-01,,Information Technology,IBM|$IBM|INTERNATIONAL BUSINESS MACHINES CORP|INTERNATIONAL BUSINESS MACHINES,,earnings|revenue|guidance|margin|cash flow|regulation|litigation|supply chain|interest rates|inflation,0.9
