ticker,company,source_type,url,crawler_grade,needs_js,checked_at,http_status,final_url,title,fetch_error,page_years_2010_2023,option_years_2010_2023,train_year_hints_2010_2021,test_year_hints_2021_2023,same_site_historical_links_seen,sample_1_url,sample_1_status,sample_1_title,sample_1_years,sample_1_fulltext_like,sample_2_url,sample_2_status,sample_2_title,sample_2_years,sample_2_fulltext_like,historical_coverage_grade,historical_coverage_note
AAPL,Apple,company_news_archive,https://www.apple.com/newsroom/archive/,crawler_ready,no,2026-05-13T11:27:00Z,200,https://www.apple.com/newsroom/archive/,All Topics Archive - Apple,,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021,2021|2022|2023,0,,,,,,,,,,,weak_historical_hint,"Only weak train-period hints, no good detail link found."
AAPL,Apple,earnings_results_archive,https://investor.apple.com/investor-relations/default.aspx,browser_or_api_needed,yes,2026-05-13T11:27:00Z,200,https://investor.apple.com/investor-relations/default.aspx,Investor Relations - Apple,,,,,,0,,,,,,,,,,,js_or_vendor_api_unknown,Likely archive behind JS/Q4/vendor API; direct HTML does not prove historical coverage.
AAPL,Apple,investor_relations,https://investor.apple.com/,browser_or_api_needed,yes,2026-05-13T11:27:00Z,200,https://investor.apple.com/investor-relations/default.aspx,Investor Relations - Apple,,,,,,0,,,,,,,,,,,js_or_vendor_api_unknown,Likely archive behind JS/Q4/vendor API; direct HTML does not prove historical coverage.
AMGN,Amgen,company_news_archive,https://www.amgen.com/newsroom/press-releases,crawler_ready,no,2026-05-13T11:27:01Z,200,https://www.amgen.com/newsroom/press-releases,News | Amgen,,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021,2021|2022|2023,0,,,,,,,,,,,weak_historical_hint,"Only weak train-period hints, no good detail link found."
AMGN,Amgen,earnings_results_archive,https://investors.amgen.com/financials/quarterly-earnings/,browser_or_api_needed,yes,2026-05-13T11:27:13Z,,,,"ReadTimeout: HTTPSConnectionPool(host='investors.amgen.com', port=443): Read timed out. (read timeout=14)",,,,,0,,,,,,,,,,,blocked_or_failed,Current fetch failed/forbidden; cannot validate history from this URL.
AMGN,Amgen,press_releases_archive,https://investors.amgen.com/news-and-events/press-releases/,crawler_ready,no,2026-05-13T11:27:13Z,,,,"ReadTimeout: HTTPSConnectionPool(host='investors.amgen.com', port=443): Read timed out. (read timeout=14)",,,,,0,,,,,,,,,,,blocked_or_failed,Current fetch failed/forbidden; cannot validate history from this URL.
AMZN,Amazon,company_news_archive,https://www.aboutamazon.com/news/company-news,crawler_ready,no,2026-05-13T11:26:59Z,200,https://www.aboutamazon.com/news/company-news,Company news,,,,,,0,,,,,,,,,,,no_2010_2021_evidence,No train-window evidence found by direct HTML scan.
AMZN,Amazon,earnings_results_archive,https://ir.aboutamazon.com/quarterly-results/default.aspx,browser_or_api_needed,yes,2026-05-13T11:26:59Z,403,https://ir.aboutamazon.com/quarterly-results/default.aspx,Just a moment...,,,,,,0,,,,,,,,,,,blocked_or_failed,Current fetch failed/forbidden; cannot validate history from this URL.
AMZN,Amazon,press_releases_archive,https://ir.aboutamazon.com/news-release/default.aspx,browser_or_api_needed,yes,2026-05-13T11:26:59Z,403,https://ir.aboutamazon.com/news-release/default.aspx,Just a moment...,,,,,,0,,,,,,,,,,,blocked_or_failed,Current fetch failed/forbidden; cannot validate history from this URL.
AXP,American Express,company_news_archive,https://about.americanexpress.com/newsroom/default.aspx,browser_or_api_needed,yes,2026-05-13T11:27:04Z,200,https://www.americanexpress.com/en-us/newsroom/,Amex Newsroom,,,,,,0,,,,,,,,,,,js_or_vendor_api_unknown,Likely archive behind JS/Q4/vendor API; direct HTML does not prove historical coverage.
