ticker,company,source_type,url,hits_years,hit_count,hit_2010,hit_2015,hit_2021,sample_hits,pattern_probe_grade
AAPL,Apple,company_news_archive,https://www.apple.com/newsroom/archive/,2010|2015|2021,3,True,True,True,2010 200 All Topics Archive - 2010 - Apple -> https://www.apple.com/newsroom/archive/2010/ || 2015 200 All Topics Archive - 2015 - Apple -> https://www.apple.com/newsroom/archive/2015/ || 2021 200 All Topics Archive - 2021 - Apple -> https://www.apple.com/newsroom/archive/2021/,old_and_recent_pattern
AAPL,Apple,earnings_results_archive,https://investor.apple.com/investor-relations/default.aspx,2010|2015|2021,3,True,True,True,2010 200 Investor Relations - Apple -> https://investor.apple.com/investor-relations/default.aspx?year=2010 || 2015 200 Investor Relations - Apple -> https://investor.apple.com/investor-relations/default.aspx?year=2015 || 2021 200 Investor Relations - Apple -> https://investor.apple.com/investor-relations/default.aspx?year=2021,old_and_recent_pattern
AAPL,Apple,investor_relations,https://investor.apple.com/,2010|2015|2021,3,True,True,True,2010 200 Investor Relations - Apple -> https://investor.apple.com/investor-relations/default.aspx || 2015 200 Investor Relations - Apple -> https://investor.apple.com/investor-relations/default.aspx || 2021 200 Investor Relations - Apple -> https://investor.apple.com/investor-relations/default.aspx,old_and_recent_pattern
AMGN,Amgen,company_news_archive,https://www.amgen.com/newsroom/press-releases,2010|2015|2021,3,True,True,True,2010 200 News | Amgen -> https://www.amgen.com/newsroom/press-releases || 2015 200 News | Amgen -> https://www.amgen.com/newsroom/press-releases || 2021 200 News | Amgen -> https://www.amgen.com/newsroom/press-releases,old_and_recent_pattern
AMGN,Amgen,earnings_results_archive,https://investors.amgen.com/financials/quarterly-earnings/,,0,False,False,False,,no_pattern_hits
AMGN,Amgen,press_releases_archive,https://investors.amgen.com/news-and-events/press-releases/,,0,False,False,False,,no_pattern_hits
AMZN,Amazon,company_news_archive,https://www.aboutamazon.com/news/company-news,2010|2015|2021,3,True,True,True,2010 200 Company news -> https://www.aboutamazon.com/news/company-news?year=2010 || 2015 200 Company news -> https://www.aboutamazon.com/news/company-news?year=2015 || 2021 200 Company news -> https://www.aboutamazon.com/news/company-news?year=2021,old_and_recent_pattern
AMZN,Amazon,earnings_results_archive,https://ir.aboutamazon.com/quarterly-results/default.aspx,,0,False,False,False,,no_pattern_hits
AMZN,Amazon,press_releases_archive,https://ir.aboutamazon.com/news-release/default.aspx,,0,False,False,False,,no_pattern_hits
AXP,American Express,company_news_archive,https://about.americanexpress.com/newsroom/default.aspx,,0,False,False,False,,no_pattern_hits
AXP,American Express,earnings_results_archive,https://ir.americanexpress.com/financials/,2010|2015|2021,3,True,True,True,2010 200 American Express Company - Financials -> https://ir.americanexpress.com/financials/2010/ || 2015 200 American Express Company - Financials -> https://ir.americanexpress.com/financials/2015/ || 2021 200 American Express Company - Financials -> https://ir.americanexpress.com/financials/2021/,old_and_recent_pattern
AXP,American Express,press_releases_archive,https://ir.americanexpress.com/News/default.aspx,2010|2015|2021,3,True,True,True,2010 200 American Express Company - News -> https://ir.americanexpress.com/News/default.aspx?year=2010 || 2015 200 American Express Company - News -> https://ir.americanexpress.com/News/default.aspx?year=2015 || 2021 200 American Express Company - News -> https://ir.americanexpress.com/News/default.aspx?year=2021,old_and_recent_pattern
BA,Boeing,company_news_archive,https://boeing.mediaroom.com/news-releases-statements,2010|2015|2021,3,True,True,True,2010 200 News Releases | Boeing Newsroom -> https://boeing.mediaroom.com/news-releases-statements/2010 || 2015 200 News Releases | Boeing Newsroom -> https://boeing.mediaroom.com/news-releases-statements/2015 || 2021 200 News Releases | Boeing Newsroom -> https://boeing.mediaroom.com/news-releases-statements/2021,old_and_recent_pattern
BA,Boeing,earnings_results_archive,https://investors.boeing.com/investors/financial-reports/default.aspx,2010|2015|2021,3,True,True,True,2010 200 Boeing Company - Investors - Overview -> https://investors.boeing.com/investors/overview/default.aspx || 2015 200 Boeing Company - Investors - Overview -> https://investors.boeing.com/investors/overview/default.aspx || 2021 200 Boeing Company - Investors - Overview -> https://investors.boeing.com/investors/overview/default.aspx,old_and_recent_pattern
BA,Boeing,press_releases_archive,https://investors.boeing.com/investors/news/default.aspx,2010|2015|2021,3,True,True,True,2010 200 Boeing Company - Investors - News -> https://investors.boeing.com/investors/news/default.aspx?year=2010 || 2015 200 Boeing Company - Investors - News -> https://investors.boeing.com/investors/news/default.aspx?year=2015 || 2021 200 Boeing Company - Investors - News -> https://investors.boeing.com/investors/news/default.aspx?year=2021,old_and_recent_pattern
CAT,Caterpillar,company_news_archive,https://www.caterpillar.com/en/news/corporate-press-releases.html,,0,False,False,False,,no_pattern_hits
CAT,Caterpillar,earnings_results_archive,https://investors.caterpillar.com/financials/quarterly-results/default.aspx,,0,False,False,False,,no_pattern_hits
CAT,Caterpillar,press_releases_archive,https://investors.caterpillar.com/news/default.aspx,,0,False,False,False,,no_pattern_hits
CRM,Salesforce,earnings_results_archive,https://investor.salesforce.com/financials/quarterly-results/default.aspx,,0,False,False,False,,no_pattern_hits
CRM,Salesforce,investor_relations,https://investor.salesforce.com/overview/default.aspx,2010|2015|2021,3,True,True,True,"2010 200 Salesforce.com, Inc. - Salesforce Investor Relations -> https://investor.salesforce.com/overview/default.aspx?year=2010 || 2015 200 Salesforce.com, Inc. - Salesforce Investor Relations -> https://investor.salesforce.com/overview/default.aspx?year=2015 || 2021 200 Salesforce.com, Inc. - Salesforce Investor Relations -> https://investor.salesforce.com/overview/default.aspx?year=2021",old_and_recent_pattern
CRM,Salesforce,press_releases_archive,https://investor.salesforce.com/news/default.aspx,2010|2015|2021,3,True,True,True,"2010 200 Salesforce.com, Inc. - Investor News -> https://investor.salesforce.com/news/default.aspx?year=2010 || 2015 200 Salesforce.com, Inc. - Investor News -> https://investor.salesforce.com/news/default.aspx?year=2015 || 2021 200 Salesforce.com, Inc. - Investor News -> https://investor.salesforce.com/news/default.aspx?year=2021",old_and_recent_pattern
CSCO,Cisco,company_news_archive,https://newsroom.cisco.com/c/r/newsroom/en/us/press-releases.html,2010|2015|2021,3,True,True,True,2010 200 Press Releases -> https://newsroom.cisco.com/c/r/newsroom/en/us/press-releases.html?year=2010 || 2015 200 Press Releases -> https://newsroom.cisco.com/c/r/newsroom/en/us/press-releases.html?year=2015 || 2021 200 Press Releases -> https://newsroom.cisco.com/c/r/newsroom/en/us/press-releases.html?year=2021,old_and_recent_pattern
CSCO,Cisco,earnings_results_archive,https://investor.cisco.com/financials/quarterly-results/default.aspx,,0,False,False,False,,no_pattern_hits
CSCO,Cisco,press_releases_archive,https://investor.cisco.com/news/default.aspx,2010|2015|2021,3,True,True,True,2010 200 Cisco Systems Inc. - News -> https://investor.cisco.com/news/default.aspx?year=2010 || 2015 200 Cisco Systems Inc. - News -> https://investor.cisco.com/news/default.aspx?year=2015 || 2021 200 Cisco Systems Inc. - News -> https://investor.cisco.com/news/default.aspx?year=2021,old_and_recent_pattern
CVX,Chevron,company_news_archive,https://chevroncorp.gcs-web.com/news-releases,,0,False,False,False,,no_pattern_hits
CVX,Chevron,investor_relations,https://chevroncorp.gcs-web.com/,,0,False,False,False,,no_pattern_hits
CVX,Chevron,press_releases_archive,https://chevroncorp.gcs-web.com/news-releases,,0,False,False,False,,no_pattern_hits
DIS,Walt Disney,company_news_archive,https://thewaltdisneycompany.com/news/,2010|2015|2021,3,True,True,True,2010 200 News | The Walt Disney Company -> https://thewaltdisneycompany.com/news/?Year=2010 || 2015 200 2015 Disney Accelerator Demo Day Showcases 10 Promising Start-Ups | The Walt Disney Company -> https://thewaltdisneycompany.com/news/2015-disney-accelerator-demo-day-showcases-10-promising-start-ups/ || 2021 200 2021 Disney Accelerator Participants Announced | The Walt Disney Company -> https://thewaltdisneycompany.com/news/2021-disney-accelerator-participants-announced/,old_and_recent_pattern
DIS,Walt Disney,earnings_results_archive,https://thewaltdisneycompany.com/investor-relations/#financials,2010|2015|2021,3,True,True,True,2010 200 The Walt Disney Company - Investor Relations -> https://investors.thewaltdisneycompany.com/ || 2015 200 The Walt Disney Company - Investor Relations -> https://investors.thewaltdisneycompany.com/ || 2021 200 The Walt Disney Company - Investor Relations -> https://investors.thewaltdisneycompany.com/,old_and_recent_pattern
